task_name,index,model_name,prompt,output,score
number_1,53,gemini-pro,"수 53는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오,0.0
number_1,54,gemini-pro,"수 54는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오,0.0
number_1,55,gemini-pro,"수 55는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오,0.0
number_1,56,gemini-pro,"수 56는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오십육,1.0
number_1,57,gemini-pro,"수 57는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오십칠,1.0
number_1,58,gemini-pro,"수 58는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오,0.0
number_1,59,gemini-pro,"수 59는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오십구,1.0
number_1,60,gemini-pro,"수 60는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,61,gemini-pro,"수 61는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육십일,1.0
number_1,62,gemini-pro,"수 62는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,63,gemini-pro,"수 63는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,64,gemini-pro,"수 64는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,65,gemini-pro,"수 65는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,66,gemini-pro,"수 66는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,67,gemini-pro,"수 67는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,68,gemini-pro,"수 68는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,69,gemini-pro,"수 69는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,70,gemini-pro,"수 70는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠십,1.0
number_1,71,gemini-pro,"수 71는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠,0.0
number_1,72,gemini-pro,"수 72는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠십이,1.0
number_1,73,gemini-pro,"수 73는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠,0.0
number_1,74,gemini-pro,"수 74는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,75,gemini-pro,"수 75는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠십오,1.0
number_1,76,gemini-pro,"수 76는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠십육,1.0
number_1,77,gemini-pro,"수 77는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",일,0.0
number_1,78,gemini-pro,"수 78는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠십팔,1.0
number_1,79,gemini-pro,"수 79는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠,0.0
number_1,80,gemini-pro,"수 80는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔,0.0
number_1,81,gemini-pro,"수 81는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔,0.0
number_1,82,gemini-pro,"수 82는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔,0.0
number_1,83,gemini-pro,"수 83는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔삼,0.0
number_1,84,gemini-pro,"수 84는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔,0.0
number_1,85,gemini-pro,"수 85는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔,0.0
number_1,86,gemini-pro,"수 86는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔,0.0
number_1,87,gemini-pro,"수 87는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔십칠,1.0
number_1,88,gemini-pro,"수 88는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔십팔,1.0
number_1,89,gemini-pro,"수 89는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔십구,1.0
number_1,90,gemini-pro,"수 90는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,91,gemini-pro,"수 91는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,92,gemini-pro,"수 92는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,93,gemini-pro,"수 93는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,94,gemini-pro,"수 94는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,95,gemini-pro,"수 95는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,96,gemini-pro,"수 96는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,97,gemini-pro,"수 97는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,98,gemini-pro,"수 98는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,99,gemini-pro,"수 99는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,0.0
number_1,100,gemini-pro,"수 101는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,101,gemini-pro,"수 103는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,102,gemini-pro,"수 106는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백육,1.0
number_1,103,gemini-pro,"수 109는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,104,gemini-pro,"수 113는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,105,gemini-pro,"수 114는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,106,gemini-pro,"수 115는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,107,gemini-pro,"수 116는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,108,gemini-pro,"수 118는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백십팔,1.0
number_1,109,gemini-pro,"수 120는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백이십,1.0
number_1,110,gemini-pro,"수 121는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백이십일,1.0
number_1,111,gemini-pro,"수 122는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백이십이,1.0
number_1,112,gemini-pro,"수 123는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,113,gemini-pro,"수 126는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,114,gemini-pro,"수 131는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,115,gemini-pro,"수 139는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,116,gemini-pro,"수 141는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,117,gemini-pro,"수 145는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,118,gemini-pro,"수 152는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,119,gemini-pro,"수 159는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,120,gemini-pro,"수 162는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,121,gemini-pro,"수 164는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,122,gemini-pro,"수 165는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,123,gemini-pro,"수 166는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,124,gemini-pro,"수 167는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,0.0
number_1,125,gemini-pro,"수 169는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,126,gemini-pro,"수 175는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,127,gemini-pro,"수 180는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,128,gemini-pro,"수 182는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,129,gemini-pro,"수 185는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,130,gemini-pro,"수 186는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,131,gemini-pro,"수 189는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,132,gemini-pro,"수 192는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,133,gemini-pro,"수 195는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",백,0.0
number_1,134,gemini-pro,"수 196는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",일,0.0
number_1,135,gemini-pro,"수 197는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",일,0.0
number_1,136,gemini-pro,"수 204는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,137,gemini-pro,"수 205는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,138,gemini-pro,"수 206는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,139,gemini-pro,"수 210는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,140,gemini-pro,"수 215는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,141,gemini-pro,"수 216는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,142,gemini-pro,"수 217는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,143,gemini-pro,"수 218는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,144,gemini-pro,"수 219는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,145,gemini-pro,"수 221는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,146,gemini-pro,"수 225는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,147,gemini-pro,"수 226는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,148,gemini-pro,"수 229는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,149,gemini-pro,"수 230는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,150,gemini-pro,"수 233는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,151,gemini-pro,"수 235는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,152,gemini-pro,"수 239는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,153,gemini-pro,"수 241는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,154,gemini-pro,"수 243는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,155,gemini-pro,"수 245는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,156,gemini-pro,"수 247는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,157,gemini-pro,"수 258는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,158,gemini-pro,"수 259는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,159,gemini-pro,"수 265는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,160,gemini-pro,"수 269는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,161,gemini-pro,"수 272는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,162,gemini-pro,"수 275는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이백칠십오,1.0
number_1,163,gemini-pro,"수 278는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,164,gemini-pro,"수 279는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,165,gemini-pro,"수 280는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,166,gemini-pro,"수 281는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,167,gemini-pro,"수 288는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,168,gemini-pro,"수 291는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,169,gemini-pro,"수 292는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,170,gemini-pro,"수 295는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,171,gemini-pro,"수 296는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,172,gemini-pro,"수 299는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,173,gemini-pro,"수 302는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,174,gemini-pro,"수 304는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,175,gemini-pro,"수 307는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,176,gemini-pro,"수 308는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,177,gemini-pro,"수 310는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,178,gemini-pro,"수 314는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,179,gemini-pro,"수 320는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,180,gemini-pro,"수 321는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,181,gemini-pro,"수 323는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,182,gemini-pro,"수 326는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,183,gemini-pro,"수 334는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,184,gemini-pro,"수 337는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
